Score,Summary
4,Good Quality Dog Food
0,Not as Advertised
3,"""Delight"" says it all"
1,Cough Medicine
4,Great taffy
3,Nice Taffy
4,Great!  Just as good as the expensive brands!
4,"Wonderful, tasty taffy"
4,Yay Barley
4,Healthy Dog Food
4,The Best Hot Sauce in the World
4,"My cats LOVE this ""diet"" food better than their regular food"
0,My Cats Are Not Fans of the New Food
3,fresh and greasy!
4,Strawberry Twizzlers - Yummy
4,"Lots of twizzlers, just what you expect."
1,poor taste
4,Love it!
4,GREAT SWEET CANDY!
4,Home delivered twizlers
4,Always fresh
4,TWIZZLERS
4,Delicious product!
4,Twizzlers
4,Please sell these in Mexico!!
4,Twizzlers - Strawberry
0,Nasty No flavor
3,Great Bargain for the Price
4,YUMMY!
4,The Best Hot Sauce in the World
4,Great machine!
4,THIS IS MY TASTE...
3,Best of the Instant Oatmeals
3,Good Instant
4,Great Irish oatmeal for those in a hurry!
3,satisfying
4,Love Gluten Free Oatmeal!!!
4,it's oatmeal
3,GOOD WAY TO START THE DAY....
4,Wife's favorite Breakfast
4,Why wouldn't you buy oatmeal from Mcanns? Tastes great!
4,Oatmeal For Oatmeal Lovers
4,Food-Great
4,Good Hot Breakfast
4,Great taste and convenience
2,Hearty Oatmeal
4,good
2,Mushy
3,Very good but next time I won't order the Variety Pack
2,Same stuff
0,Don't like it
4,HOT!  And good!  Came back for more  :)
3,You'll go nuts over Ass-Kickin' Peanuts.
2,not ass kickin
3,Roasts up a smooth brew
4,Our guests love it!
4,Awesome Deal!
4,How can you go wrong!
4,Awsome - Kids in neighborhood loved us!
4,great deal.
2,Better price for this at Target
4,pretty expensive
0,stale product.
4,Hammer Nutrition 's Fizz Rocks!
4,great source of electrolytes
4,Great for preventing cramps
4,Low Carb Alternative to Gatorade
1,Taste is not so good.
2,How much would you pay for a bag of chocolate pretzels?
4,pretzel haven!
4,Great Gummi!
4,Bigger then other brands
4,Best ever latice tart
0,Warning!  WARNING!  -ALCOHOL SUGARS!
1,nothing special
0,No Tea Flavor
4,Good
4,Taste great
2,Order only in cold weather
4,this is the best
4,Delicious!
3,Great
4,Forget Molecular Gastronomy - this stuff rockes a coffee creamer!
2,Natural Balance Lamb and Rice
2,INCREASED MY DOGS ITCHING
4,Great food!
4,Great for my dogs allergies
4,Great for stomach problems!
4,Better life for you dog!
4,Great Food
4,Great food for my my dog who has a sensitive stomach.
4,Great dog food
4,Mmmmm  Mmmmm good.
4,Great Dog Food!
4,So convenient
4,Good healthy dog food
4,Great dog food
4,"Great allergy sensitive dog food, dogs love it"
4,Perfect for our English Bulldog with Allergies
0,Bad
4,Taste wise it is a 6 star item
3,Great Support
3,TART!
4,Omaha Apple Tartlets
4,Loved these Tartlets
4,The best
2,disappointing
4,Wasting Vinegar on a Cucumber is a Shame!
4,Asparagus Bliss
4,My Idea of a Good Diet Food.
1,Low Carb Angel Food Puffs
4,Delicious tea
4,My every day green tea
4,the best tea ever... freah bright clean
4,Tea review
4,Wonderful Tea
4,Great cookies
4,Best everyday cookie!
4,So Far So Good
4,Best Cat Food
4,Great food.
4,Perfect Cat Food For Older Cats!
4,Good for Feline UTI
4,Palatable and healthy
4,Healthy & They LOVE It!
4,Wonderful food - perfect for allergic kitties
4,Holistic select cat food
3,Tastes great. Love Hot & Spicy. Bad price here.
4,My favorite ramen
2,It burns!
4,Amazing to the last bite.
1,Not for me
4,Great spicy flavor
4,Great value and convenient ramen
4,great flavor
3,"Tastes great, but is cheaper locally."
4,Tastes awesome & looks beautiful
4,Happy Face
4,Simply the BEST!
4,Excellent Product/Life Saver
3,Nice snack
3,Good Licorice
4,I love these!!!!!!!!
4,Great for the kids!
2,Bite sized
4,Sweet with a nice kick!
1,BROKEN BOTTLE BOTTOMS!
4,Love the salsa!!
2,Ehhh...
4,awesome cornmeal
4,GREAT marinade!
4,Awesome stuff
3,tastes good
0,Rip off Price
4,JELL-O
4,Great flavor of Jell-o.
4,Great Deal
4,Great tasting sea salt WITH iodine
4,tastes very fresh
4,Simple but good
4,tasty!
2,Not the greatest tasting..
3,Not Bad
4,"Right size, taste"
0,Tasteless but low calorie
4,This stuff is sooooo good!
4,Best Stuff Ever
0,Very Low quality
0,Not Banana Runts
2,Banana Heads Not Banana Runts
4,Worked great!
4,Ricore forever
4,Delicious!
4,"Fluffy, Soft, Delicious and Sugary Sweet"
3,Great but not as good as it was back in the day as a teen
4,EXCELLENT LEMON JUICE
4,Great Product
4,Handy
3,ReaLemon Juice from Amazon.
3,"relaxing, almost like something you smoke"
3,Never paid that much !
4,Marley's Mellow Mood Lite - Half Tea Half Lemonade
2,Great product to help you sleep
4,Perfect for gluten-free chocolate chip cookies
4,Garbonzo  Bean Flour
4,yum falafel
4,"Make a fresh fruit tart, light and beautiful"
4,Miracle
3,not bad for instant healthy coffee
2,It's ok
4,I love it!
4,great taste and has health benefits!
