Score,Summary
0,Not as Advertised
0,My Cats Are Not Fans of the New Food
0,Nasty No flavor
0,Don't like it
0,stale product.
0,Warning!  WARNING!  -ALCOHOL SUGARS!
0,No Tea Flavor
0,Bad
0,Rip off Price
0,Tasteless but low calorie
0,Very Low quality
0,Not Banana Runts
0,These just don't do it for me as breath mints
0,CHANGED FORMULA MAKES CATS SICK!!!!
0,Price cannot be correct
0,Not Good
0,Furniture Polish Taste
0,Sad outcome
0,Don't Waste Your Money
0,Reeks like chemicals
0,Lie!!!!
0,Over priced chips and lack rice taste
0,So awful I can barely describe
0,Very Dissapointed
0,what quantity is it!
0,Never Arrived
0,AWFUL
0,Does not taste very good
0,No no
0,Bitter
0,Waste of money
0,MSG Ham Base
0,poor item packaging
0,Awful
0,disappointing
0,Look elsewhere for your whole grains
0,Maybe the worst chips ever.
0,Surprise 1  It's different...
0,"I have had better ""Jalapeno Kettle Chips"""
0,They changed the Chips now they taste horrible
0,Gone down hill
0,completely ripped off
0,STALE.  Beware buying these on special!
0,USED to be my favorite chips
0,"Stale, Rancid Oil Taste, And if You Like Even the Tiniest Bit of Salt Flavor on Your Chips..."
0,Disgusting
0,Over-fried
0,VERY DISAPPOINTED
0,dripping in oil
0,Chips
0,Garbage
0,They're Not Madhouse Munchies!!!
0,Too SOUR!
0,AWFUL TASTE
0,"Kettle has sold out, the chips are horrible now"
0,The bags were damaged with holes and stains.
0,Kettle Chips Make Great Mouse Food
0,HORRIBLE I CANT BELIEVE THIS!
0,Kettle Brand Potato Chips - New York Cheddar
0,what happened? the recipe has changed
0,burns the skin off your lips
0,Expired stock
0,ONLY awful because SOMETIMES they are awful
0,How this could be good?
0,WRONG FLAVOR - got Country BBQ instead of Chili Chipotle
0,"The ""Organic"" Label is Misleading"
0,Disappointed!
0,Perhaps something was wrong with the batch...
0,Big Disappointment
0,Worst Frosting Ever
0,worst frosting ever
0,Cherrybrook Kitchen Vanilla Frosting
0,"Do Not Buy This ""Frosting"""
0,Perversion of taste
0,IT'S A LAXATIVE
0,Tao of Tea ...!Don't get it
0,Horrible .. dont buy it
0,NOT edible!
0,Not one but twice came broken.
0,If I could give a rating under one-star...
0,Horrid
0,Very Different taste from the 'Made in UK' or 'Made in India' version.
0,Not like other countries Cadbury
0,not for traditional caramel lovers
0,Really wanted to like these...
0,Something has changed
0,Not a Fan
0,ABSOLUTELY VILE!!!
0,Plastic in the food!
0,Runny and odd-tasting
0,FOUND SHREDDED PLASTIC IN THE BABY FOOD!!!!
0,Had to toss 9 out of 12 jars
0,the garbanzo beans in it give horrible gas
