Score,Summary,Bert_Loss,Bert_Logits,Bert_Labels,roberta_Loss,roberta_Logits,roberta_Labels,albert_Loss,albert_Logits,albert_Labels
0,Not as Advertised,"tensor(10.7891, grad_fn=<NllLossBackward>)","tensor([[ 3.5461,  1.2510, 13.9296, 11.9402, 12.9174]],
       grad_fn=<AddmmBackward>)",2,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(2.0789, grad_fn=<NllLossBackward>)","tensor([[33.8101, 28.9608, 35.7544, -6.6538, 13.4554]],
       grad_fn=<AddmmBackward>)",2
0,My Cats Are Not Fans of the New Food,"tensor(3.8858, grad_fn=<NllLossBackward>)","tensor([[5.8384, 4.8888, 8.8979, 9.0962, 1.2219]], grad_fn=<AddmmBackward>)",3,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(6.0368, grad_fn=<NllLossBackward>)","tensor([[34.6703, 40.1066, 39.9063, -4.9766, 16.9999]],
       grad_fn=<AddmmBackward>)",1
0,Nasty No flavor,"tensor(5.2496, grad_fn=<NllLossBackward>)","tensor([[ 7.0052,  0.7605, -2.8090, 12.2496,  1.3094]],
       grad_fn=<AddmmBackward>)",3,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(0.7738, grad_fn=<NllLossBackward>)","tensor([[26.2443, 21.9626, 26.3876, -0.9624, 13.5634]],
       grad_fn=<AddmmBackward>)",2
0,Don't like it,"tensor(3.7500, grad_fn=<NllLossBackward>)","tensor([[15.7685, 19.4946,  9.4125, -3.4601, -1.4679]],
       grad_fn=<AddmmBackward>)",1,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(3.9495, grad_fn=<NllLossBackward>)","tensor([[ 31.3660,  21.6985,  35.2961,  -6.0269, -15.7843]],
       grad_fn=<AddmmBackward>)",2
0,stale product.,"tensor(0.2939, grad_fn=<NllLossBackward>)","tensor([[20.1058,  9.0855, 19.0237, 14.1178, 11.8292]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(6.3104, grad_fn=<NllLossBackward>)","tensor([[ 28.0661,  12.9353,  34.3747,  -5.7330, -15.4285]],
       grad_fn=<AddmmBackward>)",2
0,Warning!  WARNING!  -ALCOHOL SUGARS!,"tensor(5.0639, grad_fn=<NllLossBackward>)","tensor([[19.0854,  0.0909,  0.2807, 16.0078, 24.1426]],
       grad_fn=<AddmmBackward>)",4,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(1.0930, grad_fn=<NllLossBackward>)","tensor([[ 35.0320,   9.4082,  35.7167, -13.0517,  -6.9769]],
       grad_fn=<AddmmBackward>)",2
0,No Tea Flavor,"tensor(5.0833, grad_fn=<NllLossBackward>)","tensor([[ 7.5786,  6.8924, 12.6274,  8.9588, -0.5333]],
       grad_fn=<AddmmBackward>)",2,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(2.0339, grad_fn=<NllLossBackward>)","tensor([[31.4763, 23.7017, 33.3699, -3.8824,  5.5523]],
       grad_fn=<AddmmBackward>)",2
0,Bad,"tensor(5.6742e-05, grad_fn=<NllLossBackward>)","tensor([[17.4527,  1.6952, -9.2643,  1.5504,  7.6706]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(11.3204, grad_fn=<NllLossBackward>)","tensor([[  5.1358,   5.1853,  16.4562,  -5.8501, -14.0631]],
       grad_fn=<AddmmBackward>)",2
0,Rip off Price,"tensor(0.0005, grad_fn=<NllLossBackward>)","tensor([[20.0483,  5.0032, -4.2960,  1.5607, 12.4578]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(11.9236, grad_fn=<NllLossBackward>)","tensor([[22.2506, 15.0481, 34.1742, -3.2013, 20.7538]],
       grad_fn=<AddmmBackward>)",2
0,Tasteless but low calorie,"tensor(40.0570, grad_fn=<NllLossBackward>)","tensor([[-7.9519, -1.5384, 15.2812, 32.1051, 12.6202]],
       grad_fn=<AddmmBackward>)",3,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(7.8298, grad_fn=<NllLossBackward>)","tensor([[25.3212, 32.8462, 31.4826,  1.8733, 30.5439]],
       grad_fn=<AddmmBackward>)",1
0,Very Low quality,"tensor(8.9389, grad_fn=<NllLossBackward>)","tensor([[ 4.7395, -1.5048, 12.2013, 13.4190,  4.0080]],
       grad_fn=<AddmmBackward>)",3,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(2.5932, grad_fn=<NllLossBackward>)","tensor([[30.8270, 29.4590, 33.3217, -1.3313, 20.6532]],
       grad_fn=<AddmmBackward>)",2
0,Not Banana Runts,"tensor(0.1064, grad_fn=<NllLossBackward>)","tensor([[10.2479,  8.0205,  3.4549,  4.5530, -5.1608]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(3.4727, grad_fn=<NllLossBackward>)","tensor([[28.3265, 28.6092, 31.6650, -2.5877, 28.8700]],
       grad_fn=<AddmmBackward>)",2
0,These just don't do it for me as breath mints,"tensor(4.8571, grad_fn=<NllLossBackward>)","tensor([[10.8331,  2.8302, 15.6362, 12.5842,  3.2466]],
       grad_fn=<AddmmBackward>)",2,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(8.7146, grad_fn=<NllLossBackward>)","tensor([[26.5380, 24.7663, 35.2524, -2.3956,  9.3059]],
       grad_fn=<AddmmBackward>)",2
0,CHANGED FORMULA MAKES CATS SICK!!!!,"tensor(2.2710, grad_fn=<NllLossBackward>)","tensor([[20.9073,  0.9472,  2.0037,  4.3638, 23.0693]],
       grad_fn=<AddmmBackward>)",4,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(3.2178, grad_fn=<NllLossBackward>)","tensor([[33.2165, 31.1038, 36.3884, -6.4590,  8.0035]],
       grad_fn=<AddmmBackward>)",2
0,Price cannot be correct,"tensor(1.2875e-05, grad_fn=<NllLossBackward>)","tensor([[21.7080,  5.0502, 10.4496, -4.1966, -2.4991]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(0.0027, grad_fn=<NllLossBackward>)","tensor([[31.6513, 12.9219, 25.7538, -8.8812, -4.4282]],
       grad_fn=<AddmmBackward>)",0
0,Not Good,"tensor(0.0428, grad_fn=<NllLossBackward>)","tensor([[11.4288,  8.2619,  4.9067,  2.2484, -4.4939]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(11.3239, grad_fn=<NllLossBackward>)","tensor([[  5.2025,   5.1135,  16.5264,  -5.7988, -14.5626]],
       grad_fn=<AddmmBackward>)",2
0,Furniture Polish Taste,"tensor(21.1752, grad_fn=<NllLossBackward>)","tensor([[-1.6522,  3.3060, 12.4481, 19.4156, 17.2301]],
       grad_fn=<AddmmBackward>)",3,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(0.0004, grad_fn=<NllLossBackward>)","tensor([[ 29.5618,  10.5574,  21.6790, -10.0103,   1.3601]],
       grad_fn=<AddmmBackward>)",0
0,Sad outcome,"tensor(0., grad_fn=<NllLossBackward>)","tensor([[19.6701,  1.1705, -1.4238, -0.3860,  1.6923]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(4.3644, grad_fn=<NllLossBackward>)","tensor([[26.9877, 23.6469, 31.3388, -1.4660, 20.0956]],
       grad_fn=<AddmmBackward>)",2
0,Don't Waste Your Money,"tensor(8.9744, grad_fn=<NllLossBackward>)","tensor([[12.0418,  5.3669,  2.8110, 12.6549, 21.0158]],
       grad_fn=<AddmmBackward>)",4,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(0.1215, grad_fn=<NllLossBackward>)","tensor([[30.9655, 27.5725, 28.6176, -4.1783, 20.1739]],
       grad_fn=<AddmmBackward>)",0
0,Reeks like chemicals,"tensor(1.6451e-05, grad_fn=<NllLossBackward>)","tensor([[21.6442,  5.3827,  9.0333, -0.5004, 10.3968]],
       grad_fn=<AddmmBackward>)",0,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(3.0806, grad_fn=<NllLossBackward>)","tensor([[31.7722, 30.4455, 34.7929,  0.6461,  9.9091]],
       grad_fn=<AddmmBackward>)",2
0,Lie!!!!,"tensor(4.2371, grad_fn=<NllLossBackward>)","tensor([[19.4102, -1.1009, -9.7172,  0.8289, 23.6328]],
       grad_fn=<AddmmBackward>)",4,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(5.1267, grad_fn=<NllLossBackward>)","tensor([[30.0631, 28.3273, 35.1828, -8.0665, 19.2526]],
       grad_fn=<AddmmBackward>)",2
0,Over priced chips and lack rice taste,"tensor(1.4785, grad_fn=<NllLossBackward>)","tensor([[14.6286,  5.7505, 14.2936, 15.0915, 14.7078]],
       grad_fn=<AddmmBackward>)",3,"tensor(115.4766, grad_fn=<NllLossBackward>)","tensor([[ 14.0496, 116.7102, 126.1496, 129.4914, 112.9396]],
       grad_fn=<AddmmBackward>)",3,"tensor(7.5045, grad_fn=<NllLossBackward>)","tensor([[32.1613, 34.1558, 39.6612, -1.8548, 11.9151]],
       grad_fn=<AddmmBackward>)",2
