PhraseId,SentenceId,Phrase,Sentiment,Bert_Loss,Bert_Logits,Bert_Labels,RoBerta_Loss,RoBerta_Logits,RoBerta_Labels,Albert_Loss,Albert_Logits,Albert_Labels
1,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1,"tensor(1.6079, grad_fn=<NllLossBackward>)","tensor([[-0.4702, -0.1066, -0.5275, -0.2380,  0.4609]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.6944, grad_fn=<NllLossBackward>)","tensor([[-0.1295, -0.0942,  0.2013, -0.0478, -0.0114]],
       grad_fn=<AddmmBackward>)",2,"tensor(2.1153, grad_fn=<NllLossBackward>)","tensor([[ 0.3696, -0.3099,  0.8686,  0.0809, -0.8353]],
       grad_fn=<AddmmBackward>)",2
2,1,A series of escapades demonstrating the adage that what is good for the goose,2,"tensor(1.9642, grad_fn=<NllLossBackward>)","tensor([[-0.4404, -0.0522, -0.4928, -0.1433,  0.2508]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4010, grad_fn=<NllLossBackward>)","tensor([[-0.1335, -0.1038,  0.1922, -0.0545, -0.0160]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.3498, grad_fn=<NllLossBackward>)","tensor([[ 0.4373, -0.3669,  0.2759, -0.1077, -0.4699]],
       grad_fn=<AddmmBackward>)",0
3,1,A series,2,"tensor(2.3032, grad_fn=<NllLossBackward>)","tensor([[-0.5699, -0.0469, -0.8587,  0.0090,  0.2525]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4058, grad_fn=<NllLossBackward>)","tensor([[-0.1207, -0.0916,  0.1955, -0.0469, -0.0095]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.3749, grad_fn=<NllLossBackward>)","tensor([[ 0.2897, -0.2428,  0.2428,  0.0417, -0.5048]],
       grad_fn=<AddmmBackward>)",0
4,1,A,2,"tensor(2.2378, grad_fn=<NllLossBackward>)","tensor([[-0.5554, -0.0968, -0.8179, -0.1129,  0.2780]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4081, grad_fn=<NllLossBackward>)","tensor([[-0.1189, -0.0955,  0.1918, -0.0477, -0.0090]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4502, grad_fn=<NllLossBackward>)","tensor([[ 0.1068, -0.2873,  0.1545, -0.1024,  0.0427]],
       grad_fn=<AddmmBackward>)",2
5,1,series,2,"tensor(2.2811, grad_fn=<NllLossBackward>)","tensor([[-0.5786, -0.1086, -0.8589, -0.0748,  0.2905]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4072, grad_fn=<NllLossBackward>)","tensor([[-0.1184, -0.0983,  0.1944, -0.0439, -0.0056]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4408, grad_fn=<NllLossBackward>)","tensor([[ 0.0932, -0.2866,  0.1614, -0.1157,  0.0485]],
       grad_fn=<AddmmBackward>)",2
6,1,of escapades demonstrating the adage that what is good for the goose,2,"tensor(2.0026, grad_fn=<NllLossBackward>)","tensor([[-0.3957, -0.0194, -0.5131, -0.1486,  0.2776]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4094, grad_fn=<NllLossBackward>)","tensor([[-0.1252, -0.1006,  0.1860, -0.0530, -0.0093]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.2419, grad_fn=<NllLossBackward>)","tensor([[ 0.4087, -0.3246,  0.3943, -0.1878, -0.5176]],
       grad_fn=<AddmmBackward>)",0
7,1,of,2,"tensor(2.2863, grad_fn=<NllLossBackward>)","tensor([[-0.5448, -0.0862, -0.8700, -0.1086,  0.2688]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4033, grad_fn=<NllLossBackward>)","tensor([[-0.1202, -0.1012,  0.1962, -0.0477, -0.0102]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.4450, grad_fn=<NllLossBackward>)","tensor([[ 0.0982, -0.2884,  0.1590, -0.1081,  0.0491]],
       grad_fn=<AddmmBackward>)",2
8,1,escapades demonstrating the adage that what is good for the goose,2,"tensor(1.8941, grad_fn=<NllLossBackward>)","tensor([[-0.3636, -0.1580, -0.4306, -0.2451,  0.2922]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4046, grad_fn=<NllLossBackward>)","tensor([[-0.1280, -0.1045,  0.1913, -0.0527, -0.0070]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.3274, grad_fn=<NllLossBackward>)","tensor([[ 0.3972, -0.3202,  0.2875, -0.1642, -0.4591]],
       grad_fn=<AddmmBackward>)",0
9,1,escapades,2,"tensor(1.9949, grad_fn=<NllLossBackward>)","tensor([[-0.5186, -0.0790, -0.5537, -0.2166,  0.2826]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4122, grad_fn=<NllLossBackward>)","tensor([[-0.1155, -0.0966,  0.1860, -0.0503, -0.0099]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.6766, grad_fn=<NllLossBackward>)","tensor([[ 0.3495, -0.1649, -0.0651,  0.0074, -0.2238]],
       grad_fn=<AddmmBackward>)",0
10,1,demonstrating the adage that what is good for the goose,2,"tensor(2.0399, grad_fn=<NllLossBackward>)","tensor([[-0.4104, -0.0079, -0.6023, -0.2211,  0.1872]],
       grad_fn=<AddmmBackward>)",4,"tensor(1.4020, grad_fn=<NllLossBackward>)","tensor([[-0.1301, -0.1097,  0.1936, -0.0512, -0.0068]],
       grad_fn=<AddmmBackward>)",2,"tensor(1.3071, grad_fn=<NllLossBackward>)","tensor([[ 0.4169, -0.2743,  0.3363, -0.1732, -0.4239]],
       grad_fn=<AddmmBackward>)",0
