PhraseId,SentenceId,Phrase,Sentiment,Bert_Loss,Bert_Logits,RoBerta_Loss,RoBerta_Logits
1,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story .",1,"tensor(0.4430, grad_fn=<NllLossBackward>)","tensor([[-0.1778,  0.4069]], grad_fn=<AddmmBackward>)","tensor(0.7675, grad_fn=<NllLossBackward>)","tensor([[ 0.0049, -0.1387]], grad_fn=<AddmmBackward>)"
2,1,A series of escapades demonstrating the adage that what is good for the goose,2,"tensor(0.4696, grad_fn=<NllLossBackward>)","tensor([[-0.0884,  0.4237]], grad_fn=<AddmmBackward>)","tensor(0.7661, grad_fn=<NllLossBackward>)","tensor([[-0.0050, -0.1459]], grad_fn=<AddmmBackward>)"
3,1,A series,2,"tensor(0.5901, grad_fn=<NllLossBackward>)","tensor([[0.0641, 0.2820]], grad_fn=<AddmmBackward>)","tensor(0.7587, grad_fn=<NllLossBackward>)","tensor([[-0.0052, -0.1324]], grad_fn=<AddmmBackward>)"
4,1,A,2,"tensor(0.5157, grad_fn=<NllLossBackward>)","tensor([[-0.0398,  0.3535]], grad_fn=<AddmmBackward>)","tensor(0.7584, grad_fn=<NllLossBackward>)","tensor([[-0.0057, -0.1322]], grad_fn=<AddmmBackward>)"
5,1,series,2,"tensor(0.5483, grad_fn=<NllLossBackward>)","tensor([[-0.0041,  0.3101]], grad_fn=<AddmmBackward>)","tensor(0.7609, grad_fn=<NllLossBackward>)","tensor([[-0.0023, -0.1335]], grad_fn=<AddmmBackward>)"
6,1,of escapades demonstrating the adage that what is good for the goose,2,"tensor(0.4766, grad_fn=<NllLossBackward>)","tensor([[-0.1252,  0.3681]], grad_fn=<AddmmBackward>)","tensor(0.7659, grad_fn=<NllLossBackward>)","tensor([[-0.0048, -0.1453]], grad_fn=<AddmmBackward>)"
7,1,of,2,"tensor(0.5525, grad_fn=<NllLossBackward>)","tensor([[-0.0032,  0.3012]], grad_fn=<AddmmBackward>)","tensor(0.7595, grad_fn=<NllLossBackward>)","tensor([[-0.0047, -0.1332]], grad_fn=<AddmmBackward>)"
8,1,escapades demonstrating the adage that what is good for the goose,2,"tensor(0.4538, grad_fn=<NllLossBackward>)","tensor([[-0.1520,  0.4027]], grad_fn=<AddmmBackward>)","tensor(0.7641, grad_fn=<NllLossBackward>)","tensor([[-0.0016, -0.1389]], grad_fn=<AddmmBackward>)"
9,1,escapades,2,"tensor(0.4753, grad_fn=<NllLossBackward>)","tensor([[-0.0684,  0.4283]], grad_fn=<AddmmBackward>)","tensor(0.7595, grad_fn=<NllLossBackward>)","tensor([[-0.0035, -0.1321]], grad_fn=<AddmmBackward>)"
10,1,demonstrating the adage that what is good for the goose,2,"tensor(0.4907, grad_fn=<NllLossBackward>)","tensor([[-0.0905,  0.3661]], grad_fn=<AddmmBackward>)","tensor(0.7656, grad_fn=<NllLossBackward>)","tensor([[-0.0005, -0.1406]], grad_fn=<AddmmBackward>)"
